"Date","Price","Open","High","Low","Vol.","Change %"
"04/12/2022","97.83","97.81","97.83","97.79","2.08K","0.01%"
"04/11/2022","97.82","97.80","97.82","97.80","5.15K","0.01%"
"04/08/2022","97.81","97.81","97.83","97.81","0.15K","0.00%"
"04/07/2022","97.81","97.81","97.83","97.81","0.37K","0.00%"
"04/06/2022","97.81","97.81","97.83","97.81","3.09K","0.00%"
"04/05/2022","97.81","97.81","97.83","97.81","0.25K","-0.02%"
"04/04/2022","97.83","97.81","97.84","97.81","11.42K","0.02%"
"04/01/2022","97.81","97.82","97.83","97.81","0.27K","-0.03%"
"03/31/2022","97.84","97.82","97.84","97.81","0.30K","0.02%"
"03/30/2022","97.82","97.82","97.85","97.82","0.03K","0.00%"
"03/29/2022","97.82","97.82","97.85","97.82","0.11K","0.00%"
"03/28/2022","97.82","97.81","97.83","97.81","1.36K","0.00%"
"03/25/2022","97.82","97.82","97.84","97.82","0.27K","-0.01%"
"03/24/2022","97.83","97.83","97.84","97.83","0.16K","0.01%"
"03/23/2022","97.82","97.83","97.85","97.82","3.68K","-0.01%"
"03/21/2022","97.83","97.76","97.85","97.76","0.32K","0.00%"
"03/18/2022","97.83","97.83","97.83","97.83","","0.01%"
"03/17/2022","97.82","97.83","97.83","97.81","16.46K","-0.01%"
"03/16/2022","97.83","97.83","97.86","97.83","0.22K","-0.01%"
"03/15/2022","97.84","97.83","97.86","97.83","0.03K","0.01%"
"03/14/2022","97.83","97.82","97.84","97.82","1.13K","0.00%"
"03/11/2022","97.83","97.82","97.83","97.82","0.84K","-0.03%"
"03/10/2022","97.86","97.84","97.88","97.84","0.32K","-0.02%"
"03/09/2022","97.88","97.85","97.88","97.81","7.09K","0.04%"
"03/08/2022","97.84","97.85","97.85","97.84","23.38K","-0.03%"
"03/07/2022","97.87","97.86","97.87","97.86","2.08K","-0.01%"
"03/04/2022","97.88","97.85","97.88","97.85","2.55K","0.00%"
"03/03/2022","97.88","97.85","97.88","97.85","2.89K","0.02%"
"03/02/2022","97.86","97.85","97.87","97.85","0.03K","-0.02%"
"03/01/2022","97.88","97.87","97.88","97.83","1.04K","0.01%"
"02/28/2022","97.87","97.85","97.88","97.85","3.55K","0.03%"
"02/25/2022","97.84","97.85","97.89","97.84","1.60K","-0.01%"
"02/24/2022","97.85","97.89","97.89","97.84","4.40K","-0.02%"
"02/23/2022","97.87","97.86","97.88","97.86","0.16K","0.01%"
"02/22/2022","97.86","97.87","97.87","97.80","12.00K","0.00%"
"02/21/2022","97.86","97.87","97.88","97.85","7.13K","0.00%"
"02/18/2022","97.86","97.86","97.88","97.86","0.19K","-0.01%"
"02/17/2022","97.87","97.87","97.88","97.87","3.90K","0.00%"
"02/15/2022","97.87","97.87","97.87","97.86","10.08K","0.00%"
"02/14/2022","97.87","97.88","97.89","97.87","0.12K","-0.01%"
"02/11/2022","97.88","97.89","97.90","97.86","19.19K","-0.02%"
"02/10/2022","97.90","97.88","97.90","97.88","6.36K","0.00%"
"02/09/2022","97.90","97.88","97.90","97.88","0.27K","0.02%"
"02/08/2022","97.88","97.88","97.90","97.87","1.19K","0.01%"
"02/07/2022","97.87","97.90","97.90","97.87","0.55K","-0.04%"
"02/04/2022","97.91","97.89","97.91","97.87","17.66K","0.04%"
"02/03/2022","97.87","97.89","97.90","97.87","0.19K","-0.03%"
"02/02/2022","97.90","97.94","97.94","97.90","3.28K","0.00%"
"02/01/2022","97.90","97.91","97.91","97.90","0.35K","0.00%"
"01/31/2022","97.90","97.88","98.00","97.88","1.18K","0.01%"
"01/28/2022","97.89","97.88","97.90","97.81","3.11K","0.00%"
"01/27/2022","97.89","97.90","97.99","97.89","0.08K","-0.02%"
"01/25/2022","97.91","97.91","97.91","97.91","3.08K","0.03%"
"01/24/2022","97.88","97.90","97.99","97.88","0.20K","-0.02%"
"01/21/2022","97.90","97.89","97.92","97.89","2.50K","-0.01%"
"01/20/2022","97.91","97.91","97.91","97.90","1.38K","-0.01%"
"01/18/2022","97.92","97.91","97.92","97.91","0.20K","0.00%"
"01/17/2022","97.92","97.90","97.92","97.90","0.14K","0.00%"
"01/14/2022","97.92","97.91","97.92","97.91","","0.02%"
"01/13/2022","97.90","97.91","97.93","97.90","0.07K","-0.03%"
"01/12/2022","97.93","97.91","97.93","97.91","0.03K","0.02%"
"01/11/2022","97.91","97.91","97.93","97.90","10.72K","0.00%"
"01/10/2022","97.91","97.90","97.91","97.90","0.01K","-0.01%"
"01/07/2022","97.92","97.91","97.92","97.91","","0.01%"
"01/06/2022","97.91","97.94","97.94","97.91","0.40K","-0.01%"
"01/05/2022","97.92","97.92","97.94","97.92","0.03K","0.00%"
"01/04/2022","97.92","97.91","97.94","97.91","0.93K","0.01%"
"01/03/2022","97.91","97.92","97.94","97.91","3.19K","-0.04%"
"12/31/2021","97.95","97.90","97.95","97.90","0.09K","0.00%"
"12/30/2021","97.95","97.92","97.99","97.92","21.04K","0.03%"
"12/29/2021","97.92","97.95","97.95","97.92","16.83K","-0.02%"
"12/28/2021","97.94","97.93","97.94","97.92","0.73K","0.00%"
"12/27/2021","97.94","97.80","97.99","97.80","19.59K","-0.01%"
"12/24/2021","97.95","97.95","97.95","97.95","","0.02%"
"12/23/2021","97.93","97.95","97.95","97.93","0.34K","-0.01%"
"12/22/2021","97.94","97.95","97.95","97.94","","0.00%"
"12/21/2021","97.94","97.94","97.95","97.93","0.07K","0.00%"
"12/20/2021","97.94","97.95","97.95","97.94","0.06K","0.00%"
"12/17/2021","97.94","97.94","97.96","97.94","0.11K","0.01%"
"12/16/2021","97.93","97.94","97.95","97.92","0.51K","-0.01%"
"12/15/2021","97.94","97.95","97.95","97.93","4.62K","0.00%"
"12/14/2021","97.94","97.94","97.94","97.94","0.30K","-0.01%"
"12/13/2021","97.95","97.94","97.96","97.94","0.80K","-0.01%"
"12/10/2021","97.96","97.95","97.96","97.90","0.68K","0.01%"
"12/09/2021","97.95","97.95","97.96","97.95","0.24K","0.00%"
"12/08/2021","97.95","97.95","97.95","97.94","0.97K","0.00%"
"12/07/2021","97.95","97.95","97.96","97.94","1.40K","0.00%"
"12/06/2021","97.95","97.95","97.97","97.95","0.41K","-0.01%"
"12/03/2021","97.96","97.95","97.96","97.95","0.32K","0.00%"
"12/02/2021","97.96","97.97","97.97","97.95","4.63K","0.00%"
"12/01/2021","97.96","97.96","97.97","97.95","5.53K","0.02%"
"11/30/2021","97.94","97.95","97.97","97.94","1.78K","-0.03%"
"11/29/2021","97.97","97.99","97.99","97.95","1.24K","0.00%"
"11/26/2021","97.97","97.95","97.99","97.95","0.45K","0.01%"
"11/25/2021","97.96","97.95","97.98","97.95","0.29K","-0.01%"
"11/24/2021","97.97","97.97","97.99","97.97","0.04K","0.00%"
"11/23/2021","97.97","97.97","97.98","97.96","3.67K","-0.02%"
"11/22/2021","97.99","97.97","97.99","97.97","0.77K","0.03%"
"11/19/2021","97.96","97.97","97.99","97.96","0.08K","-0.01%"
"11/18/2021","97.97","97.97","97.98","97.96","0.40K","-0.01%"
"11/17/2021","97.98","97.98","97.98","97.96","1.03K","0.00%"
"11/16/2021","97.98","97.98","97.99","97.98","0.03K","-0.01%"
"11/15/2021","97.99","97.97","97.99","97.97","1.63K","0.01%"
"11/12/2021","97.98","97.96","97.98","97.96","","0.00%"
"11/11/2021","97.98","97.98","97.98","97.98","","-0.01%"
"11/10/2021","97.99","97.98","97.99","97.97","8.92K","0.01%"
"11/09/2021","97.98","97.98","97.99","97.98","0.11K","-0.01%"
"11/08/2021","97.99","97.99","97.99","97.99","0.95K","0.01%"
"11/05/2021","97.98","97.99","98.00","97.97","1.30K","-0.01%"
"11/04/2021","97.99","97.99","98.00","97.99","0.47K","-0.01%"
"11/03/2021","98.00","97.99","98.09","97.98","0.23K","0.01%"
"11/02/2021","97.99","97.99","98.00","97.99","2.35K","0.00%"
"11/01/2021","97.99","97.98","98.01","97.98","0.31K","-0.01%"
"10/29/2021","98.00","97.99","98.02","97.99","0.54K","0.00%"
"10/28/2021","98.00","98.00","98.09","97.98","0.07K","0.00%"
"10/27/2021","98.00","97.99","98.01","97.99","0.14K","0.00%"
"10/26/2021","98.00","98.00","98.01","98.00","0.60K","0.00%"
"10/25/2021","98.00","98.00","98.01","98.00","1.27K","0.00%"
"10/22/2021","98.00","98.00","98.01","97.99","0.48K","-0.01%"
"10/21/2021","98.01","98.01","98.02","97.99","0.09K","0.00%"
"10/19/2021","98.01","98.01","98.02","98.00","0.46K","0.00%"
"10/18/2021","98.01","98.01","98.03","98.01","1.25K","0.00%"
"10/15/2021","98.01","98.03","98.09","98.01","0.13K","-0.01%"
"10/14/2021","98.02","98.02","98.03","98.02","0.07K","-0.01%"
"10/13/2021","98.03","98.02","98.03","98.01","0.16K","0.00%"
"10/12/2021","98.03","98.02","98.03","98.02","0.04K","0.01%"
"10/11/2021","98.02","98.04","98.04","98.02","0.14K","0.00%"
"10/08/2021","98.02","98.04","98.04","98.00","1.76K","0.00%"
"10/06/2021","98.02","98.03","98.04","98.02","0.08K","0.00%"
"10/05/2021","98.02","98.01","98.05","98.01","0.25K","0.00%"
"10/04/2021","98.02","98.05","98.05","98.02","1.17K","-0.01%"
"10/01/2021","98.03","98.03","98.04","98.03","0.08K","-0.01%"
"09/30/2021","98.04","98.03","98.04","98.03","8.93K","0.01%"
"09/29/2021","98.03","98.04","98.05","98.03","0.07K","-0.01%"
"09/28/2021","98.04","98.09","98.09","98.04","0.03K","0.01%"
"09/27/2021","98.03","98.09","98.09","98.03","0.40K","-0.01%"
"09/24/2021","98.04","98.04","98.05","98.04","0.10K","-0.02%"
"09/23/2021","98.06","98.04","98.06","98.04","10.58K","0.02%"
"09/22/2021","98.04","98.04","98.06","98.04","2.45K","-0.01%"
"09/21/2021","98.05","98.05","98.05","98.02","5.74K","0.00%"
"09/20/2021","98.05","98.05","98.05","98.05","","-0.01%"
"09/17/2021","98.06","98.05","98.06","98.04","5.76K","0.02%"
"09/16/2021","98.04","98.05","98.06","98.04","11.76K","-0.02%"
"09/15/2021","98.06","98.05","98.07","98.05","0.82K","0.00%"
"09/14/2021","98.06","98.06","98.06","98.05","2.00K","0.00%"
"09/13/2021","98.06","98.06","98.06","98.06","","0.00%"
"09/10/2021","98.06","98.06","98.07","98.06","0.05K","0.00%"
"09/09/2021","98.06","98.05","98.08","98.05","0.04K","-0.01%"
"09/08/2021","98.07","98.06","98.08","98.06","6.39K","0.01%"
"09/07/2021","98.06","98.05","98.08","98.05","1.00K","0.00%"
"09/06/2021","98.06","98.05","98.09","98.05","0.52K","-0.01%"
"09/03/2021","98.07","98.07","98.07","98.07","","0.00%"
"09/02/2021","98.07","98.07","98.07","98.07","","0.00%"
